EventType,EventDate,City,State,Country,HasSafetyRec,ReportType,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,X,Year,Month,Day,Hour,CauseCategory
ACC,2024-11-23T12:15:00Z,Drake,Colorado,United States,FALSE,DirectorBrief,Fatal,2,1,0,40.441487,-105.30918,CESSNA,182T,AIR,NA,FALSE,1,PUBF,PUBU,Destroyed,VMC,CIVIL AIR PATROL,In work,NA,2024,November,23,0,Other
ACC,2024-11-21T13:10:00Z,Lakeland,Florida,United States,FALSE,DirectorBrief,None,0,0,0,27.994381,-82.015738,BELL,206B,HELI,LAL,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,November,21,0,Other
ACC,2024-11-20T19:46:00Z,Warnock,Ohio,United States,FALSE,DirectorBrief,Serious,0,2,0,40,-81,EMBRAER S A,ERJ 170-200 LR,AIR,NA,FALSE,2,NA,121,None,NA,Mesa Airlines,In work,NA,2024,November,20,0,Other
ACC,2024-11-20T16:53:00Z,Concord,New Hampshire,United States,FALSE,DirectorBrief,None,0,0,0,43.202722,-71.502278,HOLTZ RODNEY R,CHALLENGER II,AIR,CON,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,20,0,Other
ACC,2024-11-20T14:30:00Z,Centralhatchee,Georgia,United States,FALSE,DirectorBrief,Serious,0,1,0,33.358115,-85.119144,AMS FLIGHT D O O,CARAT A,GLI,7GE5,FALSE,1,PERS,91,Substantial,VMC,T2 AEROSPACE INC,In work,NA,2024,November,20,0,Other
ACC,2024-11-19T19:51:00Z,Chattanooga,Tennessee,United States,FALSE,DirectorBrief,Minor,0,0,2,35.050623,-85.212524,CESSNA,172S,AIR,CHA,FALSE,1,INST,91,Substantial,IMC,NA,In work,NA,2024,November,19,0,Other
ACC,2024-11-19T10:30:00Z,Show Low,Arizona,United States,FALSE,DirectorBrief,None,0,0,0,34.254075,-110.03055,AVIAT AIRCRAFT INC,A-1B,AIR,SOW,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,19,0,Other
ACC,2024-11-18T18:35:00Z,Cooper Hill,Missouri,United States,FALSE,DirectorBrief,Serious,0,1,0,0,0,BOEING,757-231,NA,NA,FALSE,NA,NA,121,NA,NA,DELTA AIR LINES INC,In work,NA,2024,November,18,0,Other
ACC,2024-11-18T17:30:00Z,Huntington,West Virginia,United States,FALSE,DirectorBrief,None,0,0,0,38.434006,-82.410832,BOEING,A75N1(PT17),AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,18,0,Other
ACC,2024-11-18T16:30:00Z,Fountain Inn,South Carolina,United States,FALSE,DirectorBrief,Minor,0,0,1,34.719666,-82.104197,JAMES A GRAY,JUST AIRCRAFT HIGHLANDER,AIR,N/A,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,18,0,Other
